Order	Family	Genus	Binomial	Age.at.Sexual.Maturity	Litter.per.year	Litter.Size	Max.Longevity..Days.	Adult.Body.Mass..g.	Age.at.first.Reproduciton
Artiodactyla	Bovidae	Addax	Addax nasomaculatus	947.495	1	1	112434.6	94700	1066.86
Artiodactyla	Bovidae	Aepyceros	Aepyceros melampus	394.41	1	1	77745	52300	730
Artiodactyla	Bovidae	Alcelaphus	Alcelaphus buselaphus	696.83	1.065	1	87600	164000	927.7
Artiodactyla	Cervidae	Alces	Alces alces	547.49	1.7	1.25	118260	481000	1046.515
Artiodactyla	Bovidae	Ammotragus	Ammotragus lervia	456.25	2	1.32	91980	93200	407.58
Artiodactyla	Bovidae	Antidorcas	Antidorcas marsupialis	279.01	1.05	1	87600	33200	500.475
Artiodactyla	Antilocapridae	Antilocapra	Antilocapra americana	457.8	1	2	52560	46900	365
Artiodactyla	Bovidae	Antilope	Antilope cervicapra	986.1	2	1	88695	35900	669.16
Artiodactyla	Cervidae	Axis	Axis axis	462.75	1.01	1	91104	69500	913
Artiodactyla	Cervidae	Axis	Axis kuhlii	304.36	1.3	1	8358.5	55000	426
Artiodactyla	Suidae	Babyrousa	Babyrousa babyrussa	345.19	1.5	1.5	105120	91700	517.25
Artiodactyla	Bovidae	Bison	Bison bison	751.99	1	1	144540	620000	1095
Artiodactyla	Bovidae	Bison	Bison bonasus	730	1	1	118260	673000	1068.38
Artiodactyla	Bovidae	Bos	Bos javanicus	693.99	1	1.22	116420.4	627000	912.5
Artiodactyla	Bovidae	Boselaphus	Boselaphus tragocamelus	815	1.05	1.5	95046	181000	912.5
Artiodactyla	Bovidae	Bubalus	Bubalus depressicornis	657.98	1	1	158030.4	255000	1042.575
Artiodactyla	Bovidae	Bubalus	Bubalus mindorensis	657.98	1	1	122640	251000	914
Artiodactyla	Bovidae	Bubalus	Bubalus quarlesi	657.98	1	1	98550	180000	802
Artiodactyla	Bovidae	Budorcas	Budorcas taxicolor	807.96	1	1	85760.4	291000	730
Artiodactyla	Bovidae	Capra	Capra caucasica	732.49	1	1	83570.4	63300	851
Artiodactyla	Bovidae	Capra	Capra cylindricornis	879.28	1	1	96360	57500	914
Artiodactyla	Bovidae	Capra	Capra ibex	758.52	0.8	1	97674	69300	912.5
Artiodactyla	Bovidae	Capra	Capra nubiana	1036.885	0.8	1	74460	47600	730
Artiodactyla	Bovidae	Capra	Capra sibirica	1169.062	0.8	1.18	97455	130000	730
Artiodactyla	Bovidae	Capra	Capra walie	657.625	0.8	1	8139.5	99400	426
Artiodactyla	Cervidae	Capreolus	Capreolus capreolus	391.76	1.05	1.76	74460	22400	730
Artiodactyla	Cervidae	Capreolus	Capreolus pygargus	769.84	1	2	6387.5	41000	1200.84
Artiodactyla	Cervidae	Cervus	Cervus albirostris	730.366	1	1	78840	161000	654
Artiodactyla	Cervidae	Cervus	Cervus elaphus	549.36	0.905	1	117384	240000	993.71
Artiodactyla	Cervidae	Cervus	Cervus nippon	451.11	1	1	111339.6	53000	1095
Artiodactyla	Bovidae	Connochaetes	Connochaetes taurinus	730	1	1	94170	196000	730
Artiodactyla	Cervidae	Dama	Dama dama	466.48	1	1	109500	56200	1095
Artiodactyla	Cervidae	Dama	Dama mesopotamica	543.28	1	1.07	9125	74400	749
Artiodactyla	Bovidae	Damaliscus	Damaliscus lunatus	682.78	0.585	1	78840	131000	912.5
Artiodactyla	Bovidae	Damaliscus	Damaliscus pygargus	522.62	1.1	1	94914.6	76700	1003.75
Artiodactyla	Cervidae	Elaphurus	Elaphurus davidianus	1003.693	1	1	102054	165000	1186
Artiodactyla	Bovidae	Gazella	Gazella arabica	580.5	1.245	1.5	49625.4	12000	645.438
